"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",NA,NA,NA,NA,NA,"same",69757,"68684",""
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",NA,NA,NA,NA,NA,"larger",69757,"68684",""
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",FALSE,TRUE,TRUE,FALSE,FALSE,"same",71214,"69757","2015-06-22"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,TRUE,TRUE,FALSE,FALSE,"larger",71214,"69757","2015-06-22"
"AFR::SSD::Central Equatoria::Juba::Juba Town-2015-06-08-2015-09-06",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Kator-2015-06-08-2015-09-06",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Munuki-2015-06-08-2015-09-20",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Northern Bari-2015-06-08-2015-09-20",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Rejaf-2015-06-08-2015-08-30",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::SS-EC::Juba-2015-06-01-2015-10-04",NA,NA,NA,NA,NA,"same",21628.5,"28576",""
"AFR::SSD::Jonglei::Bor South-2016-09-05-2016-10-16",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Jonglei::Bor South-2017-01-30-2017-03-26",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Jonglei::Bor South-2017-05-01-2017-06-04",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",NA,NA,NA,NA,NA,"same",33264.5,"28800",""
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",NA,NA,NA,NA,NA,"larger",33264.5,"28800",""
"AFR::SSD::Central Equatoria::Juba::Juba Town-2015-06-08-2015-09-06",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Kator-2015-06-08-2015-09-06",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Munuki-2015-06-08-2015-09-20",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Northern Bari-2015-06-08-2015-09-20",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::Central Equatoria::Juba::Rejaf-2015-06-08-2015-08-30",NA,NA,NA,NA,NA,"larger",21628.5,"28576",""
"AFR::SSD::SS-EC::Juba-2015-06-01-2015-10-04",NA,NA,NA,NA,NA,"same",21628.5,"28576",""
"AFR::SSD::Jonglei::Bor South-2016-09-05-2016-10-16",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Jonglei::Bor South-2017-01-30-2017-03-26",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Jonglei::Bor South-2017-05-01-2017-06-04",NA,NA,NA,NA,NA,"same",2904.5,"3273",""
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",NA,NA,NA,NA,NA,"same",33264.5,"28800",""
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",NA,NA,NA,NA,NA,"larger",33264.5,"28800",""
"AFR::ZWE::Harare::Budiriro::Budiriro 1-2018-09-03-2018-10-21",FALSE,FALSE,FALSE,TRUE,FALSE,"larger",967843,"1035435","2018-10-03"
"AFR::ZWE::Harare::Harare-2018-09-03-2018-10-28",FALSE,FALSE,FALSE,TRUE,FALSE,"same",967843,"1035435","2018-10-03"
"AFR::ZWE::Harare::Highfield::Lusaka-2018-09-03-2018-11-25",FALSE,FALSE,FALSE,TRUE,FALSE,"larger",967843,"1035435","2018-10-03"
"AFR::ZWE::Harare::Kambuzuma::Kambuzuma2-2018-09-03-2018-11-11",FALSE,FALSE,FALSE,TRUE,FALSE,"larger",967843,"1035435","2018-10-03"
"AFR::ZWE::Harare::Budiriro::Budiriro 1-2018-09-03-2018-10-21",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",1086248.26,"1035435","2019-03-25"
"AFR::ZWE::Harare::Harare-2018-09-03-2018-10-28",FALSE,FALSE,FALSE,FALSE,FALSE,"same",1086248.26,"1035435","2019-03-25"
"AFR::ZWE::Harare::Highfield::Lusaka-2018-09-03-2018-11-25",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",1086248.26,"1035435","2019-03-25"
"AFR::ZWE::Harare::Kambuzuma::Kambuzuma2-2018-09-03-2018-11-11",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",1086248.26,"1035435","2019-03-25"
"AFR::CMR::Far North::Mokolo Health District-2010-07-05-2010-11-07",FALSE,FALSE,FALSE,FALSE,FALSE,"same",60572,"60572","2019-08-01"
"AFR::CMR::Far North::Mokolo Health District-2014-09-08-2014-10-26",FALSE,FALSE,FALSE,FALSE,FALSE,"same",60572,"60572","2019-08-01"
"AFR::CMR::North::Pitoa Health District-2011-05-30-2011-11-20",FALSE,FALSE,FALSE,FALSE,FALSE,"same",36532,"22636.9824","2019-08-01"
"AFR::CMR::North::Pitoa Health District-2018-08-06-2018-12-02",FALSE,FALSE,FALSE,FALSE,FALSE,"same",36532,"22636.9824","2019-08-01"
"AFR::CMR::North::Pitoa Health District-2019-07-15-2019-11-17",FALSE,FALSE,FALSE,TRUE,FALSE,"same",36532,"22636.9824","2019-08-01"
"AFR::CMR::Far North::Mogode Health District-2010-07-19-2010-11-07",FALSE,FALSE,FALSE,FALSE,FALSE,"same",108333,"127463","2017-05-25"
"AFR::CMR::Far North::Mogode Health District-2014-05-19-2014-11-16",FALSE,FALSE,FALSE,FALSE,FALSE,"same",108333,"127463","2017-05-25"
"AFR::CMR::Far North::Mogode Health District-2010-07-19-2010-11-07",FALSE,FALSE,FALSE,FALSE,FALSE,"same",115482,"127463","2017-06-15"
"AFR::CMR::Far North::Mogode Health District-2014-05-19-2014-11-16",FALSE,FALSE,FALSE,FALSE,FALSE,"same",115482,"127463","2017-06-15"
"AFR::CMR::South-2020-05-11-2020-11-01",NA,NA,NA,NA,NA,"smaller",NA,"301",""
